"DZ_CODE","UR8FOLD","URNAME","Area Name","Council Area","Population","Area Sq Km","People per Sq Km","Overall_SIMD16_rank"
"S01007712",1,"Large Urban Areas","Docks and Wellgate - 06","Dundee City","708",0.06072,11660.0790513834,2921
"S01007713",1,"Large Urban Areas","Docks and Wellgate - 07","Dundee City","435",0.06965,6245.51328068916,1359
"S01007714",1,"Large Urban Areas","Hilltown - 01","Dundee City","638",0.09535,6691.13791295228,1870
"S01007715",1,"Large Urban Areas","Hilltown - 02","Dundee City","521",0.13428,3879.95233839738,404
"S01007716",1,"Large Urban Areas","Hilltown - 03","Dundee City","1062",0.10357,10253.9345370281,679
"S01007717",1,"Large Urban Areas","Hilltown - 04","Dundee City","778",0.14241,5463.09950143951,133
"S01007718",1,"Large Urban Areas","Hilltown - 05","Dundee City","719",0.12235,5876.58357172047,813
"S01007719",1,"Large Urban Areas","Hilltown - 06","Dundee City","938",0.09119,10286.2155938151,906
"S01007720",1,"Large Urban Areas","The Glens - 01","Dundee City","747",0.18356,4069.51405534975,2137
"S01007721",1,"Large Urban Areas","The Glens - 02","Dundee City","810",0.10882,7443.48465355633,2152
"S01007722",1,"Large Urban Areas","The Glens - 03","Dundee City","988",0.12077,8180.83961248654,197
"S01007723",1,"Large Urban Areas","The Glens - 04","Dundee City","960",0.12703,7557.26993623553,317
"S01007724",1,"Large Urban Areas","The Glens - 05","Dundee City","641",0.17386,3686.8744967215,247
"S01007725",1,"Large Urban Areas","The Glens - 06","Dundee City","702",0.0709,9901.26939351199,571
"S01007726",1,"Large Urban Areas","Stobswell - 01","Dundee City","780",0.09306,8381.68923275306,769
"S01007727",1,"Large Urban Areas","Stobswell - 02","Dundee City","1040",0.11454,9079.79745067225,502
"S01007728",1,"Large Urban Areas","Stobswell - 03","Dundee City","909",0.06264,14511.4942528736,914
"S01007729",1,"Large Urban Areas","Stobswell - 04","Dundee City","725",0.0664,10918.6746987952,886
"S01007730",1,"Large Urban Areas","Stobswell - 05","Dundee City","687",0.05329,12891.7245261775,1790
"S01007731",1,"Large Urban Areas","Stobswell - 06","Dundee City","727",0.06533,11128.1187815705,2114
"S01007732",1,"Large Urban Areas","Stobswell - 07","Dundee City","824",0.09283,8876.440805774,1937
"S01007733",1,"Large Urban Areas","Baxter Park - 01","Dundee City","880",0.22695,3877.50605860322,4266
"S01007734",1,"Large Urban Areas","Baxter Park - 02","Dundee City","837",0.49171,1702.22285493482,5247
"S01007735",1,"Large Urban Areas","Baxter Park - 03","Dundee City","799",0.31417,2543.20909061973,5101
"S01007736",1,"Large Urban Areas","Baxter Park - 04","Dundee City","723",0.23436,3084.99743983615,5215
"S01007737",1,"Large Urban Areas","Craigie and  Craigiebank - 01","Dundee City","1137",0.25905,4389.11407064273,3771
"S01007738",1,"Large Urban Areas","Craigie and  Craigiebank - 02","Dundee City","740",0.39691,1864.402509385,4136
"S01007739",1,"Large Urban Areas","Craigie and  Craigiebank - 03","Dundee City","611",0.15507,3940.1560585542,3184
"S01007740",1,"Large Urban Areas","Craigie and  Craigiebank - 04","Dundee City","575",0.31902,1802.39483417968,4098
"S01007741",1,"Large Urban Areas","Craigie and  Craigiebank - 05","Dundee City","755",0.17904,4216.93476318141,1787
"S01007742",1,"Large Urban Areas","Craigie and  Craigiebank - 06","Dundee City","583",0.72208,807.389762907157,2473
"S01007743",1,"Large Urban Areas","Douglas West - 01","Dundee City","853",0.13175,6474.38330170778,1318
"S01007744",1,"Large Urban Areas","Douglas West - 02","Dundee City","782",0.12582,6215.22810364012,496
"S01007745",1,"Large Urban Areas","Douglas West - 03","Dundee City","700",0.17009,4115.46828149803,1134
"S01007746",1,"Large Urban Areas","Douglas West - 04","Dundee City","906",0.11323,8001.41305307781,1193
"S01007747",1,"Large Urban Areas","Douglas West - 05","Dundee City","495",0.0932,5311.15879828326,996
"S01007748",1,"Large Urban Areas","Douglas West - 06","Dundee City","747",0.36197,2063.70693703898,343
"S01007749",1,"Large Urban Areas","West Ferry - 01","Dundee City","712",0.15186,4688.52890820493,5145
"S01007750",1,"Large Urban Areas","West Ferry - 02","Dundee City","810",0.51028,1587.36380026652,6020
"S01007751",1,"Large Urban Areas","West Ferry - 03","Dundee City","850",0.45854,1853.70960003489,5402
"S01007752",1,"Large Urban Areas","West Ferry - 04","Dundee City","815",0.25081,3249.47171165424,4242
"S01007753",1,"Large Urban Areas","Douglas East - 01","Dundee City","511",0.36301,1407.67471970469,1438
"S01007754",1,"Large Urban Areas","Douglas East - 02","Dundee City","896",0.12773,7014.79683707821,483
"S01007755",1,"Large Urban Areas","Douglas East - 03","Dundee City","808",0.11315,7140.96332302254,486
"S01007756",1,"Large Urban Areas","Douglas East - 04","Dundee City","538",0.08266,6508.58940237116,1114
"S01007757",1,"Large Urban Areas","Broughty Ferry West - 01","Dundee City","837",0.2308,3626.5164644714,5919
"S01007758",1,"Large Urban Areas","Broughty Ferry West - 02","Dundee City","936",0.34096,2745.19005161896,6159
"S01007759",1,"Large Urban Areas","Broughty Ferry West - 03","Dundee City","982",0.14398,6820.39172107237,2786
"S01007760",1,"Large Urban Areas","Broughty Ferry West - 04","Dundee City","640",0.24645,2596.87563400284,6835
"S01007761",1,"Large Urban Areas","Broughty Ferry West - 05","Dundee City","899",0.30945,2905.15430602682,6439
"S01007762",1,"Large Urban Areas","Broughty Ferry West - 06","Dundee City","831",0.18953,4384.5301535377,4511
"S01007763",1,"Large Urban Areas","Broughty Ferry East - 01","Dundee City","588",0.09068,6484.34053815615,2395
"S01007764",1,"Large Urban Areas","Broughty Ferry East - 02","Dundee City","710",0.1956,3629.85685071575,6070
"S01007765",1,"Large Urban Areas","Broughty Ferry East - 03","Dundee City","671",0.1508,4449.60212201591,6016
"S01007766",1,"Large Urban Areas","Broughty Ferry East - 04","Dundee City","889",0.21817,4074.80405188614,6420
"S01007767",1,"Large Urban Areas","Broughty Ferry East - 05","Dundee City","864",0.27811,3106.68440545108,6172
"S01007768",1,"Large Urban Areas","Barnhill - 01","Dundee City","734",0.28748,2553.2210936413,4915
"S01007769",1,"Large Urban Areas","Barnhill - 02","Dundee City","732",0.28683,2552.03430603493,5618
"S01007770",1,"Large Urban Areas","Barnhill - 03","Dundee City","735",0.42423,1732.55073898593,6682
"S01007771",1,"Large Urban Areas","Barnhill - 04","Dundee City","557",0.17298,3220.02543646664,6727
"S01007772",1,"Large Urban Areas","Barnhill - 05","Dundee City","985",0.25984,3790.79433497537,1762
"S01007773",1,"Large Urban Areas","Barnhill - 06","Dundee City","706",0.18685,3778.43189724378,5931
"S01007774",1,"Large Urban Areas","West Pitkerro - 01","Dundee City","970",0.20615,4705.31166626243,6477
"S01007775",1,"Large Urban Areas","West Pitkerro - 02","Dundee City","974",0.33023,2949.45946764376,5307
"S01007776",1,"Large Urban Areas","West Pitkerro - 03","Dundee City","691",0.26615,2596.28029306782,6263
"S01007777",1,"Large Urban Areas","West Pitkerro - 04","Dundee City","1244",0.35517,3502.54807556945,6408
"S01007778",1,"Large Urban Areas","West Pitkerro - 05","Dundee City","524",3.55805,147.271679712202,3189
"S01007779",1,"Large Urban Areas","West Pitkerro - 06","Dundee City","632",1.22305,516.740934548874,4230
"S01007780",1,"Large Urban Areas","West Pitkerro - 07","Dundee City","759",0.14138,5368.51039751026,4708
"S01007781",1,"Large Urban Areas","West Pitkerro - 08","Dundee City","830",0.22345,3714.47751174759,4114
"S01007782",1,"Large Urban Areas","Whitfield - 01","Dundee City","581",0.19189,3027.77633018917,351
"S01007783",1,"Large Urban Areas","Whitfield - 02","Dundee City","708",0.61722,1147.07883736755,110
"S01007784",1,"Large Urban Areas","Whitfield - 03","Dundee City","682",0.22212,3070.41238969926,2450
"S01007785",1,"Large Urban Areas","Whitfield - 04","Dundee City","574",0.21925,2618.01596351197,265
"S01007786",1,"Large Urban Areas","Whitfield - 05","Dundee City","746",0.11347,6574.42495813871,2062
"S01007787",1,"Large Urban Areas","Whitfield - 06","Dundee City","655",0.08654,7568.7543332563,1577
"S01007788",1,"Large Urban Areas","Whitfield - 07","Dundee City","711",0.09363,7593.71996155079,411
"S01007789",1,"Large Urban Areas","Whitfield - 08","Dundee City","594",0.1066,5572.23264540338,676
"S01007790",1,"Large Urban Areas","Whitfield - 09","Dundee City","829",0.11049,7502.9414426645,300
"S01007791",1,"Large Urban Areas","Fintry - 01","Dundee City","587",2.53582,231.483307174799,4403
"S01007792",1,"Large Urban Areas","Fintry - 02","Dundee City","878",0.13329,6587.14082076675,2090
"S01007793",1,"Large Urban Areas","Fintry - 03","Dundee City","890",0.19392,4589.52145214521,510
"S01007794",1,"Large Urban Areas","Fintry - 04","Dundee City","593",0.17134,3460.95482666044,2391
"S01007795",1,"Large Urban Areas","Fintry - 05","Dundee City","621",0.16012,3878.34124406695,2102
"S01007796",1,"Large Urban Areas","Fintry - 06","Dundee City","818",0.36484,2242.07871943866,1930
"S01007797",1,"Large Urban Areas","Fintry - 07","Dundee City","572",0.1102,5190.56261343013,764
"S01007798",1,"Large Urban Areas","Fintry - 08","Dundee City","716",0.59699,1199.35007286554,4781
"S01007799",1,"Large Urban Areas","Fintry - 09","Dundee City","627",0.13484,4649.95550281815,4455
"S01007800",1,"Large Urban Areas","Linlathen and Midcraigie - 01","Dundee City","969",0.39654,2443.63746406415,121
"S01007801",1,"Large Urban Areas","Linlathen and Midcraigie - 02","Dundee City","943",0.23343,4039.75495865998,76
"S01007802",1,"Large Urban Areas","Linlathen and Midcraigie - 03","Dundee City","538",0.06534,8233.85368839914,4900
"S01007803",1,"Large Urban Areas","Linlathen and Midcraigie - 04","Dundee City","1081",0.78158,1383.09578034238,201
"S01007804",1,"Large Urban Areas","Linlathen and Midcraigie - 05","Dundee City","628",0.13245,4741.41185352963,234
"S01007805",1,"Large Urban Areas","Linlathen and Midcraigie - 06","Dundee City","499",0.12045,4142.79784142798,322
"S01007806",1,"Large Urban Areas","Linlathen and Midcraigie - 07","Dundee City","643",0.09095,7069.81858163826,1468
"S01007807",1,"Large Urban Areas","Caird Park - 01","Dundee City","741",0.90005,823.287595133604,3386
"S01007808",1,"Large Urban Areas","Caird Park - 02","Dundee City","787",0.33035,2382.32177993038,968
"S01007809",1,"Large Urban Areas","Caird Park - 03","Dundee City","877",0.4941,1774.94434325035,5920
"S01007810",1,"Large Urban Areas","Caird Park - 04","Dundee City","852",0.26415,3225.44009085747,493
"S01007811",1,"Large Urban Areas","Kirkton - 01","Dundee City","941",0.22303,4219.16334125454,716
"S01007812",1,"Large Urban Areas","Kirkton - 02","Dundee City","832",0.14521,5729.63294538944,129
"S01007813",1,"Large Urban Areas","Kirkton - 03","Dundee City","836",0.14476,5775.07598784194,752
"S01007814",1,"Large Urban Areas","Kirkton - 04","Dundee City","533",0.14247,3741.13848529515,2484
"S01007815",1,"Large Urban Areas","Kirkton - 05","Dundee City","904",0.4052,2230.99703849951,4960
"S01007816",1,"Large Urban Areas","Downfield - 01","Dundee City","604",0.14714,4104.93407638983,4702
"S01007817",1,"Large Urban Areas","Downfield - 02","Dundee City","433",0.0728,5947.8021978022,2743
"S01007818",1,"Large Urban Areas","Downfield - 03","Dundee City","702",0.1248,5625,4208
"S01007819",1,"Large Urban Areas","Downfield - 04","Dundee City","873",0.25198,3464.560679419,3859
