FeatureCode,DateCode,Measurement,Units,Value
S01006612,2014,Count,Hectares,15.411
S01006613,2014,Count,Hectares,20.079
S01006614,2014,Count,Hectares,30.771
S01006615,2014,Count,Hectares,15.867
S01006616,2014,Count,Hectares,13.36
S01006617,2014,Count,Hectares,18.078
S01006618,2014,Count,Hectares,14.201
S01006619,2014,Count,Hectares,86.21
S01006620,2014,Count,Hectares,20.84
S01006621,2014,Count,Hectares,8.413
S01006622,2014,Count,Hectares,8.592
S01006623,2014,Count,Hectares,581.1
S01006624,2014,Count,Hectares,14.287
S01006625,2014,Count,Hectares,11.902
S01006626,2014,Count,Hectares,11.945
S01006627,2014,Count,Hectares,21.526
S01006628,2014,Count,Hectares,9.936
S01006630,2014,Count,Hectares,18.668
S01006631,2014,Count,Hectares,100.471
S01006632,2014,Count,Hectares,8.026
S01006634,2014,Count,Hectares,22.457
S01006637,2014,Count,Hectares,58.123
S01006638,2014,Count,Hectares,7.273
S01006639,2014,Count,Hectares,10.353
S01006640,2014,Count,Hectares,28.449
S01006641,2014,Count,Hectares,28.806
S01006642,2014,Count,Hectares,19.376
S01006643,2014,Count,Hectares,4.933
S01006644,2014,Count,Hectares,15.832
S01006645,2014,Count,Hectares,3.101
S01006646,2014,Count,Hectares,16.925
S01006647,2014,Count,Hectares,5.149
S01006648,2014,Count,Hectares,18.0
S01006649,2014,Count,Hectares,4.585
S01006650,2014,Count,Hectares,8.253
S01006651,2014,Count,Hectares,10.871
S01006652,2014,Count,Hectares,9.492
S01006653,2014,Count,Hectares,10.806
S01006654,2014,Count,Hectares,14.257
S01006655,2014,Count,Hectares,38.633
S01006656,2014,Count,Hectares,14.463
S01006657,2014,Count,Hectares,11.573
S01006658,2014,Count,Hectares,9.699
S01006659,2014,Count,Hectares,6.566
S01006660,2014,Count,Hectares,11.367
S01006661,2014,Count,Hectares,9.091
S01006663,2014,Count,Hectares,6.839
S01006664,2014,Count,Hectares,9.438
S01006665,2014,Count,Hectares,12.604
S01006666,2014,Count,Hectares,55.968
S01006668,2014,Count,Hectares,13.57
S01006669,2014,Count,Hectares,26.001
S01006670,2014,Count,Hectares,17.628
S01006671,2014,Count,Hectares,64.142
S01006672,2014,Count,Hectares,14.79
S01006673,2014,Count,Hectares,10.017
S01006674,2014,Count,Hectares,76.234
S01006676,2014,Count,Hectares,13.702
S01006677,2014,Count,Hectares,18.019
S01006678,2014,Count,Hectares,35.3
S01006679,2014,Count,Hectares,15.527
S01006680,2014,Count,Hectares,4.418
S01006681,2014,Count,Hectares,57.921
S01006682,2014,Count,Hectares,9.051
S01006683,2014,Count,Hectares,9.312
S01006684,2014,Count,Hectares,10.795
S01006685,2014,Count,Hectares,14.218
S01006686,2014,Count,Hectares,10.861
S01006687,2014,Count,Hectares,19.609
S01006688,2014,Count,Hectares,21.885
S01006689,2014,Count,Hectares,16.836
S01006690,2014,Count,Hectares,8.524
S01006691,2014,Count,Hectares,9.124
S01006692,2014,Count,Hectares,13.077
S01006693,2014,Count,Hectares,15.791
S01006694,2014,Count,Hectares,19.617
S01006695,2014,Count,Hectares,15.966
S01006696,2014,Count,Hectares,11.892
S01006697,2014,Count,Hectares,11.336
S01006698,2014,Count,Hectares,8.251
S01006699,2014,Count,Hectares,7.144
S01006700,2014,Count,Hectares,16.099
S01006702,2014,Count,Hectares,10.691
S01006703,2014,Count,Hectares,29.336
S01006704,2014,Count,Hectares,8.457
S01006705,2014,Count,Hectares,12.782
S01006706,2014,Count,Hectares,8.696
S01006708,2014,Count,Hectares,14.07
S01006709,2014,Count,Hectares,11.645
S01006710,2014,Count,Hectares,15.951
S01006711,2014,Count,Hectares,17.763
S01006712,2014,Count,Hectares,10.154
S01006713,2014,Count,Hectares,14.244
S01006714,2014,Count,Hectares,12.317
S01006715,2014,Count,Hectares,22.983
S01006717,2014,Count,Hectares,17.596
S01006718,2014,Count,Hectares,13.368
S01006719,2014,Count,Hectares,12.372
S01006720,2014,Count,Hectares,12.322
S01006721,2014,Count,Hectares,16.703
S01006722,2014,Count,Hectares,11.187
S01006723,2014,Count,Hectares,10.626
S01006725,2014,Count,Hectares,9.463
S01006726,2014,Count,Hectares,18.431
S01006728,2014,Count,Hectares,10.522
S01006729,2014,Count,Hectares,18.071
S01006730,2014,Count,Hectares,9.528
S01006731,2014,Count,Hectares,7.009
S01006732,2014,Count,Hectares,2346.211
S01006733,2014,Count,Hectares,25.842
S01006734,2014,Count,Hectares,29.259
S01006735,2014,Count,Hectares,24.619
S01006736,2014,Count,Hectares,27.168
S01006737,2014,Count,Hectares,268.964
S01006738,2014,Count,Hectares,56.485
S01006739,2014,Count,Hectares,50.853
S01006740,2014,Count,Hectares,15.117
S01006741,2014,Count,Hectares,11.986
S01006742,2014,Count,Hectares,6.744
S01006743,2014,Count,Hectares,59.41
S01006744,2014,Count,Hectares,19.578
S01006745,2014,Count,Hectares,44.718
S01006746,2014,Count,Hectares,15.76
S01006747,2014,Count,Hectares,79.841
S01006748,2014,Count,Hectares,443.309
S01006749,2014,Count,Hectares,12.733
S01006750,2014,Count,Hectares,37.58
S01006751,2014,Count,Hectares,10.081
S01006752,2014,Count,Hectares,10.983
S01006753,2014,Count,Hectares,27.003
S01006754,2014,Count,Hectares,36.483
S01006755,2014,Count,Hectares,1967.36
S01006756,2014,Count,Hectares,31.532
S01006757,2014,Count,Hectares,18.996
S01006758,2014,Count,Hectares,14.617
S01006759,2014,Count,Hectares,25.614
S01006760,2014,Count,Hectares,8.763
S01006761,2014,Count,Hectares,33.156
S01006762,2014,Count,Hectares,941.853
S01006763,2014,Count,Hectares,12.18
S01006764,2014,Count,Hectares,11.233
S01006765,2014,Count,Hectares,10.069
S01006766,2014,Count,Hectares,14.024
S01006767,2014,Count,Hectares,15.473
S01006768,2014,Count,Hectares,13.624
S01006769,2014,Count,Hectares,19.329
S01006770,2014,Count,Hectares,11.754
S01006772,2014,Count,Hectares,21.706
S01006773,2014,Count,Hectares,33.369
S01006774,2014,Count,Hectares,9.903
S01006775,2014,Count,Hectares,75.383
S01006776,2014,Count,Hectares,7.907
S01006777,2014,Count,Hectares,12.814
S01006778,2014,Count,Hectares,16.045
S01006779,2014,Count,Hectares,17.422
S01006780,2014,Count,Hectares,39.259
S01006781,2014,Count,Hectares,31.669
S01006782,2014,Count,Hectares,119.787
S01006783,2014,Count,Hectares,14.181
S01006784,2014,Count,Hectares,15.523
S01006785,2014,Count,Hectares,10.406
S01006786,2014,Count,Hectares,26.899
S01006787,2014,Count,Hectares,18.21
S01006788,2014,Count,Hectares,1236.544
S01006789,2014,Count,Hectares,52.574
S01006790,2014,Count,Hectares,41.227
S01006791,2014,Count,Hectares,37111.057
S01006792,2014,Count,Hectares,29318.503
S01006793,2014,Count,Hectares,59459.429
S01006794,2014,Count,Hectares,32.211
S01006795,2014,Count,Hectares,69.323
S01006796,2014,Count,Hectares,3022.178
S01006797,2014,Count,Hectares,14081.174
S01006798,2014,Count,Hectares,12596.399
S01006799,2014,Count,Hectares,54.673
S01006800,2014,Count,Hectares,16434.734
S01006801,2014,Count,Hectares,2759.74
S01006802,2014,Count,Hectares,6395.088
S01006803,2014,Count,Hectares,20.309
S01006804,2014,Count,Hectares,20.761
S01006805,2014,Count,Hectares,3311.161
S01006806,2014,Count,Hectares,3047.084
S01006807,2014,Count,Hectares,2893.053
S01006808,2014,Count,Hectares,1907.936
S01006809,2014,Count,Hectares,453.43
S01006810,2014,Count,Hectares,1825.727
S01006811,2014,Count,Hectares,8122.2
S01006812,2014,Count,Hectares,3974.313
S01006813,2014,Count,Hectares,27.252
S01006814,2014,Count,Hectares,25.882
S01006815,2014,Count,Hectares,16.497
S01006816,2014,Count,Hectares,29.54
S01006817,2014,Count,Hectares,3099.956
S01006818,2014,Count,Hectares,5656.392
S01006819,2014,Count,Hectares,4365.733
S01006820,2014,Count,Hectares,384.658
S01006821,2014,Count,Hectares,3056.672
S01006822,2014,Count,Hectares,8562.216
S01006823,2014,Count,Hectares,21.691
S01006824,2014,Count,Hectares,11.458
S01006825,2014,Count,Hectares,20.216
S01006826,2014,Count,Hectares,43.507
S01006827,2014,Count,Hectares,16.989
S01006828,2014,Count,Hectares,21.195
S01006829,2014,Count,Hectares,30.295
S01006830,2014,Count,Hectares,20.113
S01006831,2014,Count,Hectares,10.942
S01006832,2014,Count,Hectares,27.517
S01006833,2014,Count,Hectares,20.061
S01006834,2014,Count,Hectares,10.692
S01006835,2014,Count,Hectares,24.051
S01006836,2014,Count,Hectares,12.461
S01006837,2014,Count,Hectares,21.2
S01006838,2014,Count,Hectares,10.933
S01006839,2014,Count,Hectares,25.363
S01006840,2014,Count,Hectares,28.692
S01006841,2014,Count,Hectares,29.712
S01006842,2014,Count,Hectares,26.577
S01006843,2014,Count,Hectares,18.934
S01006844,2014,Count,Hectares,12.521
S01006845,2014,Count,Hectares,20.122
S01006846,2014,Count,Hectares,9.201
S01006847,2014,Count,Hectares,29.361
S01006848,2014,Count,Hectares,2183.525
S01006849,2014,Count,Hectares,55.999
S01006850,2014,Count,Hectares,15.285
S01006851,2014,Count,Hectares,37.157
S01006852,2014,Count,Hectares,433.482
S01006853,2014,Count,Hectares,2878.297
S01006854,2014,Count,Hectares,30.302
S01006855,2014,Count,Hectares,7277.421
S01006856,2014,Count,Hectares,2821.388
S01006857,2014,Count,Hectares,6397.94
S01006858,2014,Count,Hectares,4844.551
S01006859,2014,Count,Hectares,32.577
S01006860,2014,Count,Hectares,11.244
S01006861,2014,Count,Hectares,38.287
S01006862,2014,Count,Hectares,34.577
S01006863,2014,Count,Hectares,30.313
S01006864,2014,Count,Hectares,21.202
S01006865,2014,Count,Hectares,62.644
S01006866,2014,Count,Hectares,17.691
S01006867,2014,Count,Hectares,47.222
S01006868,2014,Count,Hectares,20.953
S01006869,2014,Count,Hectares,1216.623
S01006870,2014,Count,Hectares,33.527
S01006871,2014,Count,Hectares,26.318
S01006872,2014,Count,Hectares,2912.194
S01006873,2014,Count,Hectares,6084.598
S01006874,2014,Count,Hectares,4061.616
S01006875,2014,Count,Hectares,35.855
S01006876,2014,Count,Hectares,3804.28
S01006877,2014,Count,Hectares,10147.103
S01006878,2014,Count,Hectares,15219.766
S01006879,2014,Count,Hectares,13813.491
S01006880,2014,Count,Hectares,1479.042
S01006881,2014,Count,Hectares,3677.024
S01006882,2014,Count,Hectares,10.693
S01006883,2014,Count,Hectares,19.667
S01006884,2014,Count,Hectares,38.836
S01006885,2014,Count,Hectares,1383.863
S01006886,2014,Count,Hectares,5962.531
S01006887,2014,Count,Hectares,2282.684
