"LSOA11CD","LSOA11NM","RUC11CD","RUC11","FID","Mid-2017 population","Area Sq Km","People per Sq Km","LSOA Name (Eng)","LSOA Name - 
ONS classification","Local Authority Name (Eng)","WIMD 2014 Overall Rank(r)","WIMD 2014 Overall Decile","WIMD 2014 Overall Quintile","WIMD 2014 Overall Quartile"
"W01001468","Blaenau Gwent 005E","C1","Urban city and town",34190,"1346","1.1269","1194.4271896352827","Nantyglo 2","Blaenau Gwent 005E","Blaenau Gwent",255,2,1,1
"W01001469","Blaenau Gwent 005F","C1","Urban city and town",34191,"1366","1.4987000000000001","911.45659571628732","Nantyglo 3","Blaenau Gwent 005F","Blaenau Gwent",111,1,1,1
"W01001470","Blaenau Gwent 001D","C1","Urban city and town",34192,"1442","4.2347999999999999","340.51194861622747","Rassau 1","Blaenau Gwent 001D","Blaenau Gwent",1049,6,3,3
"W01001471","Blaenau Gwent 001E","C1","Urban city and town",34193,"1746","0.58729999999999993","2972.9269538566323","Rassau 2","Blaenau Gwent 001E","Blaenau Gwent",132,1,1,1
"W01001472","Blaenau Gwent 003A","C1","Urban city and town",34194,"1358","1.1867000000000001","1144.349877812421","Sirhowy 1","Blaenau Gwent 003A","Blaenau Gwent",995,6,3,3
"W01001473","Blaenau Gwent 003B","C1","Urban city and town",34195,"1406","0.42560000000000003","3303.5714285714284","Sirhowy 2","Blaenau Gwent 003B","Blaenau Gwent",16,1,1,1
"W01001474","Blaenau Gwent 003C","C1","Urban city and town",34196,"1501","14.0206","107.05675933982855","Sirhowy 3","Blaenau Gwent 003C","Blaenau Gwent",375,2,1,1
"W01001475","Blaenau Gwent 003D","C1","Urban city and town",34197,"1208","0.89430000000000009","1350.7771441350776","Sirhowy 4","Blaenau Gwent 003D","Blaenau Gwent",787,5,3,2
"W01001476","Blaenau Gwent 009D","C1","Urban city and town",34198,"966","2.0965000000000003","460.76794657762935","Six Bells 1","Blaenau Gwent 009D","Blaenau Gwent",290,2,1,1
"W01001477","Blaenau Gwent 009E","C1","Urban city and town",34199,"1407","2.1635","650.33510515368619","Six Bells 2","Blaenau Gwent 009E","Blaenau Gwent",773,5,3,2
"W01001478","Blaenau Gwent 006C","C1","Urban city and town",34200,"1401","7.2942","192.07041210825039","Tredegar Central and West 1","Blaenau Gwent 006C","Blaenau Gwent",795,5,3,2
"W01001479","Blaenau Gwent 006D","C1","Urban city and town",34201,"1495","2.0072999999999999","744.78154735216469","Tredegar Central and West 2","Blaenau Gwent 006D","Blaenau Gwent",18,1,1,1
"W01001480","Blaenau Gwent 003E","C1","Urban city and town",34202,"1570","0.96959999999999991","1619.2244224422443","Tredegar Central and West 3","Blaenau Gwent 003E","Blaenau Gwent",167,1,1,1
"W01001481","Blaenau Gwent 006E","C1","Urban city and town",34203,"1674","0.79290000000000005","2111.2372304199771","Tredegar Central and West 4","Blaenau Gwent 006E","Blaenau Gwent",186,1,1,1
"W01001482","Torfaen 002A","C1","Urban city and town",34204,"1270","11.544","110.01386001386001","Abersychan 1","Torfaen 002A","Torfaen",282,2,1,1
"W01001483","Torfaen 002B","C1","Urban city and town",34205,"1492","0.41840000000000005","3565.9655831739956","Abersychan 2","Torfaen 002B","Torfaen",199,2,1,1
"W01001484","Torfaen 002C","C1","Urban city and town",34206,"1704","1.6087","1059.2403804314042","Abersychan 3","Torfaen 002C","Torfaen",1304,7,4,3
"W01001485","Torfaen 002D","C1","Urban city and town",34207,"1342","8.9384999999999994","150.13704760306541","Abersychan 4","Torfaen 002D","Torfaen",413,3,2,1
